Classifier	Features Combination	Test Sets Error	Train Sets Error	AUC	F1 Score	Counter
5	[3, 2, 1]	0.18544776119402984	0.14822500000000002	0.8913504464285714	0.8008241595177853	ESCC 139, EAC 128
6	[3, 2, 1]	0.18604477611940295	0.15592499999999998	0.8873102678571427	0.800560971721656	ESCC 139, EAC 128
0	[4, 1]	0.14828358208955222	0.14265	0.8832254464285714	0.8200070189066366	ESCC 139, EAC 128
5	[3, 1]	0.20276119402985074	0.155975	0.8810223214285715	0.7822395834246895	ESCC 139, EAC 128
6	[3, 1]	0.20470149253731343	0.170175	0.8801897321428572	0.7794025809516489	ESCC 139, EAC 128
0	[3, 1]	0.18365671641791045	0.16759999999999997	0.8790446428571428	0.8097018027579646	ESCC 139, EAC 128
0	[4]	0.13932835820895523	0.14337499999999997	0.8758169642857143	0.8293381439647177	ESCC 139, EAC 128
2	[4]	0.1685820895522388	0.167125	0.8738616071428572	0.8128315854184887	ESCC 139, EAC 128
3	[4]	0.17201492537313431	0.16897500000000001	0.8719821428571427	0.8098186097191115	ESCC 139, EAC 128
1	[4, 1]	0.1517910447761194	0.14905	0.8715915178571428	0.8213686760234483	ESCC 139, EAC 128
2	[4, 1]	0.1619402985074627	0.16152500000000003	0.8710892857142858	0.8183275488859713	ESCC 139, EAC 128
1	[4]	0.15141791044776118	0.149725	0.8693348214285714	0.821750502887727	ESCC 139, EAC 128
6	[4, 1]	0.15276119402985075	0.14965	0.8659732142857142	0.8178775131131809	ESCC 139, EAC 128
6	[4]	0.14932835820895524	0.13940000000000002	0.8652433035714284	0.817664581134659	ESCC 139, EAC 128
6	[3, 2]	0.2169402985074627	0.19135	0.8636875	0.7670487116946815	ESCC 139, EAC 128
5	[4]	0.1608955223880597	0.1433	0.8611517857142857	0.8082826956229303	ESCC 139, EAC 128
3	[4, 1]	0.15425373134328357	0.153775	0.8586964285714285	0.8273861180195153	ESCC 139, EAC 128
4	[3, 1, 2]	0.2047761194029851	0.11907500000000003	0.856765625	0.7804767289641156	ESCC 139, EAC 128
5	[3, 2]	0.21402985074626865	0.17314999999999997	0.8556540178571429	0.7736466082517126	ESCC 139, EAC 128
4	[3, 1]	0.21992537313432833	0.111775	0.8512165178571428	0.7681375853446042	ESCC 139, EAC 128
0	[3, 2]	0.23544776119402985	0.226	0.8483013392857143	0.7302406705234334	ESCC 139, EAC 128
5	[4, 1]	0.1706716417910448	0.14272500000000002	0.8454285714285714	0.7971667573492397	ESCC 139, EAC 128
4	[4, 1]	0.19634328358208955	0.11969999999999999	0.8411004464285713	0.7791848396172552	ESCC 139, EAC 128
4	[4]	0.1915671641791045	0.11460000000000001	0.8408013392857143	0.7819839532398422	ESCC 139, EAC 128
4	[3, 2]	0.23820895522388055	0.1428	0.8162946428571429	0.7482021458725019	ESCC 139, EAC 128
0	[2, 1]	0.26425373134328356	0.2523	0.8152053571428571	0.7274391588970923	ESCC 139, EAC 128
6	[2, 1]	0.26089552238805974	0.22125	0.8142008928571428	0.7232606780154355	ESCC 139, EAC 128
0	[3]	0.23313432835820896	0.22365000000000002	0.8112098214285715	0.732274890079096	ESCC 139, EAC 128
5	[2, 1]	0.27425373134328357	0.20440000000000005	0.8014174107142858	0.7029502761403111	ESCC 139, EAC 128
6	[3]	0.2121641791044776	0.20137500000000003	0.7935870535714286	0.7717114553866434	ESCC 139, EAC 128
5	[3]	0.2182089552238806	0.192	0.7923861607142857	0.763607545728966	ESCC 139, EAC 128
3	[3, 1]	0.21208955223880596	0.21212499999999998	0.7867946428571428	0.775280061172943	ESCC 139, EAC 128
2	[3, 1, 2]	0.23671641791044773	0.226875	0.7851383928571428	0.7409264838168361	ESCC 139, EAC 128
2	[3, 2]	0.24932835820895524	0.250975	0.7682901785714286	0.7256377606679691	ESCC 139, EAC 128
4	[1, 2]	0.30328358208955225	0.16715	0.7615513392857143	0.6716728248003	ESCC 139, EAC 128
4	[3]	0.24723880597014924	0.167025	0.7592142857142857	0.7303764780380598	ESCC 139, EAC 128
1	[1, 3, 2]	0.24753731343283583	0.22877499999999998	0.7579821428571429	0.7241077742084108	ESCC 139, EAC 128
3	[3, 1, 2]	0.23223880597014926	0.22437500000000005	0.7579107142857143	0.7459111181185188	ESCC 139, EAC 128
1	[3, 2]	0.24388059701492537	0.248425	0.7574709821428571	0.726634928067387	ESCC 139, EAC 128
2	[3, 1]	0.24604477611940298	0.24280000000000002	0.7562321428571428	0.730589375704059	ESCC 139, EAC 128
3	[1, 2]	0.28828358208955224	0.294	0.7516785714285714	0.6741051857049527	ESCC 139, EAC 128
0	[2]	0.31402985074626866	0.2985	0.7467901785714287	0.6414131821868554	ESCC 139, EAC 128
6	[2]	0.3395522388059702	0.2768	0.7409196428571428	0.6302470161793255	ESCC 139, EAC 128
3	[3]	0.24388059701492537	0.242725	0.7238035714285715	0.716745189507728	ESCC 139, EAC 128
